,sec_of_week,gps_week_number,utc,position_type,numsv,ins_status,temperature,latitude,longitude,altitude,north_velocity,east_velocity,ground_velocity,roll,pitch,heading,x_angular_velocity,y_angular_velocity,z_angular_velocity,x_acc,y_acc,z_acc,latitude_std,longitude_std,altitude_std,north_velocity_std,east_velocity_std,ground_velocity_std,roll_std,pitch_std,heading_std,atb_0,atb_1,atb_2,q_x,q_y,q_z,q_w,fl_wheel_vel,fr_wheel_vel,rl_wheel_vel,rr_wheel_vel,l_wheel_factor,r_wheel_factor,time_stamp,seq,time_valid,timestamp_sab_vehicle,x_angular_velocity_bias,y_angular_velocity_bias,z_angular_velocity_bias,x_acc_bias,y_acc_bias,z_acc_bias,gps_velocity,wheel_speed,dv,sec_of_week_last_three,new_longitude,new_latitude
1578,284392670,2272,1690354775.3400002,1,7,0,0.0,29.496824815538197,106.44572509765624,317.213,-4.059,10.234,1.086,-0.134,-1.12,356.814,0.234982596854642,3.496741026385906,7.798422437741976,0.423,1.387,9.811,55,107,77,692,833,862,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.007898,0.005866,0.726457,0.687141,10.53125,10.75,10.53125,10.8125,1.0052,1.0052,3880.67,364085,1,0,0,0,0,0,0,0,11.009552,10.65625,0.353302,0.67,106.44174025333146,29.49942030815489
1579,284392680,2272,1690354775.3600001,1,7,0,0.0,29.496820475260417,106.4457253689236,317.216,-4.059,10.234,1.086,-0.128,-1.094,356.892,0.766943199095793,2.552810935191083,7.736427029210113,0.356,1.483,9.279,55,107,77,692,833,862,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.007694,0.005756,0.725994,0.687633,10.546875,10.75,10.546875,10.8125,1.0052,1.0052,3880.68,364086,1,0,0,0,0,0,0,0,11.009552,10.664062,0.34549,0.68,106.44174052533899,29.499415970265925
1580,284392690,2272,1690354775.38,1,7,0,0.0,29.496820475260417,106.44573052300348,317.218,-4.059,10.234,1.086,-0.129,-1.086,356.97,0.044996667482803,0.818939348187033,7.812421400958849,0.447,1.343,10.169,55,108,78,692,833,862,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.007644,0.005705,0.725526,0.688128,10.546875,10.75,10.546875,10.8125,1.0052,1.0052,3880.69,364087,1,0,0,0,0,0,0,0,11.009552,10.664062,0.34549,0.69,106.44174568843077,29.499415979951923
1581,284392700,2272,1690354775.4,1,7,0,0.0,29.496820475260417,106.44572943793403,317.221,-4.059,10.234,1.086,-0.118,-1.071,357.047,1.237908318749142,1.525886990639088,7.756425548091359,0.454,1.171,9.632,55,108,78,692,833,862,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.007477,0.005687,0.725061,0.68862,10.546875,10.75,10.546875,10.8125,1.0052,1.0052,3880.7,364088,1,0,0,0,0,0,0,0,11.009552,10.664062,0.34549,0.7,106.441744601464,29.499415977912683
1582,284392710,2272,1690354775.42,1,7,0,0.0,29.496820475260417,106.44572943793403,317.224,-4.059,10.234,1.086,-0.103,-1.061,357.127,1.631879140709693,0.942930165250759,7.914413847253203,0.5,1.448,9.832,55,109,77,692,833,862,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.007324,0.005729,0.724585,0.689122,10.546875,10.78125,10.546875,10.828125,1.0052,1.0052,3880.71,364089,1,0,0,0,0,0,0,0,11.009552,10.675781,0.333771,0.71,106.441744601464,29.499415977912683
1583,284392720,2272,1690354775.44,1,7,0,0.0,29.496820475260417,106.44572970920137,317.227,-4.059,10.234,1.086,-0.103,-1.045,357.205,0.163987854826218,1.636878770430005,7.857418068441653,0.387,1.61,9.705,55,109,78,692,833,862,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.007215,0.005636,0.724113,0.68962,10.546875,10.78125,10.546875,10.828125,1.0052,1.0052,3880.72,364090,1,0,0,0,0,0,0,0,11.009552,10.675781,0.333771,0.72,106.44174487320566,29.499415978422487
1584,284392730,2272,1690354775.46,1,7,0,0.0,29.496820475260417,106.44573459201388,317.229,-4.059,10.234,1.086,-0.104,-1.021,357.284,0.039997037762491,2.366824709595493,7.878416513266961,0.335,1.435,9.074,55,110,78,692,833,862,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.007067,0.005491,0.72364,0.690118,10.546875,10.78125,10.546875,10.828125,1.0052,1.0052,3880.73,364091,1,0,0,0,0,0,0,0,11.009552,10.675781,0.333771,0.73,106.44174976455663,29.49941598759948
1585,284392740,2272,1690354775.48,1,7,0,0.0,29.496820203993057,106.44573486328125,317.232,-4.059,10.234,1.086,-0.108,-1.005,357.362,-0.238982300630894,1.598881584555637,7.833419845784158,0.532,1.328,9.306,55,110,78,692,833,862,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006984,0.005375,0.72317,0.690613,10.546875,10.765625,10.546875,10.859375,1.0052,1.0052,3880.74,364092,1,0,0,0,0,0,0,0,11.009552,10.679688,0.329865,0.74,106.441750036315,29.49941571695942
1586,284392750,2272,1690354775.5,1,7,0,0.0,29.496820203993057,106.44573486328125,317.235,-4.059,10.234,1.086,-0.105,-0.99,357.44,0.361973191750556,1.416895062736296,7.824420512287596,0.492,1.308,9.369,55,110,79,692,833,862,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006877,0.005308,0.722699,0.691108,10.546875,10.765625,10.546875,10.859375,1.0052,1.0052,3880.75,364093,1,0,0,0,0,0,0,0,11.009552,10.679688,0.329865,0.75,106.441750036315,29.49941571695942
1587,284392760,2272,1690354775.52,1,7,0,0.0,29.496820203993057,106.44573486328125,317.237,-4.059,10.234,1.086,-0.097,-0.987,357.519,1.000925870006374,0.370972525247117,7.846418883056967,0.379,1.397,9.664,55,111,78,692,833,862,0.1,0.1,0.1,-2.9e-05,0.008429,0.003332,-0.006797,0.005344,0.722225,0.691603,10.5625,10.78125,10.5625,10.84375,1.0052,1.0052,3880.76,364094,1,0,0,0,0,0,0,0,11.009552,10.6875,0.322052,0.76,106.441750036315,29.49941571695942
