sec_of_week,gps_week_number,utc,position_type,numsv,ins_status,temperature,latitude,longitude,altitude,north_velocity,east_velocity,ground_velocity,roll,pitch,heading,x_angular_velocity,y_angular_velocity,z_angular_velocity,x_acc,y_acc,z_acc,latitude_std,longitude_std,altitude_std,north_velocity_std,east_velocity_std,ground_velocity_std,roll_std,pitch_std,heading_std,atb_0,atb_1,atb_2,q_x,q_y,q_z,q_w,fl_wheel_vel,fr_wheel_vel,rl_wheel_vel,rr_wheel_vel,l_wheel_factor,r_wheel_factor,time_stamp,seq,time_valid,timestamp_sab_vehicle,x_angular_velocity_bias,y_angular_velocity_bias,z_angular_velocity_bias,x_acc_bias,y_acc_bias,z_acc_bias,gps_velocity,wheel_speed,dv
284322030,2272,1690354704.03,5,48,1,0.00,29.506103515625000,106.440178222656243,303.236,-15.180,0.867,0.106,2.022,-1.613,273.080,-0.048996371259055,1.113917501685415,0.083993779301233,0.512,0.941,11.617,50,50,50,132,212,147,0.100,0.100,0.100,-0.000029,0.008435,0.003327,-0.013589,0.018022,0.999377,0.027123,15.265625,15.250000,15.265625,15.359375,1.0053,1.0053,3810.03,357021,1,0,0,0,0,0,0,0,15.204739,15.285156,0.080417
284322040,2272,1690354704.04,5,48,1,0.00,29.506102973090279,106.440178222656243,303.241,-15.180,0.867,0.106,1.976,-1.547,273.084,-4.671654010659127,6.633508712909381,0.172987188322779,0.021,0.427,9.480,50,50,50,132,212,147,0.100,0.100,0.100,-0.000029,0.008435,0.003327,-0.013022,0.017599,0.999391,0.027143,15.250000,15.281250,15.250000,15.296875,1.0053,1.0053,3810.04,357022,1,0,0,0,0,0,0,0,15.204739,15.269531,0.064792
284322050,2272,1690354704.05,5,48,1,0.00,29.506102701822918,106.440178493923611,303.242,-15.180,0.867,0.106,1.973,-1.542,273.088,-0.208984522309025,0.515961787136152,0.375972154967428,0.491,0.249,7.348,50,50,50,132,212,147,0.100,0.100,0.100,-0.000029,0.008435,0.003327,-0.012977,0.017580,0.999391,0.027176,15.250000,15.281250,15.250000,15.296875,1.0053,1.0053,3810.05,357023,1,0,0,0,0,0,0,0,15.204739,15.269531,0.064792
284322060,2272,1690354704.06,5,48,1,0.00,29.506098361545138,106.440178493923611,303.246,-15.180,0.867,0.106,1.975,-1.575,273.090,0.142989410000909,-3.366750653657808,0.339974820981185,0.795,0.498,10.406,50,50,50,132,212,147,0.100,0.100,0.100,-0.000029,0.008435,0.003327,-0.013272,0.017600,0.999386,0.027200,15.218750,15.296875,15.218750,15.296875,1.0053,1.0053,3810.06,357024,1,0,0,0,0,0,0,0,15.204739,15.257812,0.053073
284322070,2272,1690354704.07,5,44,1,0.00,29.506098090277778,106.440178493923611,303.250,-15.180,0.867,0.106,1.948,-1.575,273.092,-2.726798049457928,0.082993853357171,0.186986151539651,0.793,-0.138,9.673,50,50,50,132,212,147,0.100,0.100,0.100,-0.000029,0.008435,0.003327,-0.013272,0.017362,0.999390,0.027213,15.218750,15.296875,15.218750,15.296875,1.0053,1.0053,3810.07,357025,1,0,0,0,0,0,0,0,15.204739,15.257812,0.053073
284322080,2272,1690354704.08,5,44,1,0.00,29.506097547743057,106.440178765190979,303.255,-15.180,0.867,0.106,1.984,-1.583,273.094,3.655729251491814,-0.777942384480481,0.140989558112785,0.628,0.185,10.387,50,50,50,132,212,147,0.100,0.100,0.100,-0.000029,0.008435,0.003327,-0.013332,0.017683,0.999383,0.027229,15.218750,15.296875,15.218750,15.296875,1.0053,1.0053,3810.08,357026,1,0,0,0,0,0,0,0,15.204739,15.257812,0.053073
284322090,2272,1690354704.09,5,44,1,0.00,29.506093207465277,106.440178765190979,303.259,-15.180,0.867,0.106,1.985,-1.557,273.093,0.066995038252174,2.505814415820155,-0.088993409021547,0.552,0.357,10.174,50,50,50,132,212,147,0.100,0.100,0.100,-0.000029,0.008435,0.003327,-0.013113,0.017684,0.999386,0.027225,15.296875,15.250000,15.296875,15.406250,1.0053,1.0053,3810.09,357027,1,0,0,0,0,0,0,0,15.204739,15.312500,0.107761
284322100,2272,1690354704.10,5,44,1,0.00,29.506092936197916,106.440178765190979,303.263,-15.180,0.867,0.106,1.985,-1.515,273.098,-0.017998666993123,4.204688594782024,0.273979708673072,0.428,0.145,8.458,50,50,50,132,212,147,0.100,0.100,0.100,-0.000029,0.008435,0.003327,-0.012743,0.017672,0.999391,0.027255,15.296875,15.250000,15.296875,15.406250,1.0053,1.0053,3810.10,357028,1,0,0,0,0,0,0,0,15.204739,15.312500,0.107761
284322110,2272,1690354704.11,5,44,1,0.00,29.506093207465277,106.440178765190979,303.267,-15.180,0.867,0.106,1.996,-1.517,273.100,1.148914909727596,-0.159988151049971,0.201985040700586,0.297,0.195,9.095,50,50,50,132,212,147,0.100,0.100,0.100,-0.000029,0.008435,0.003327,-0.012755,0.017773,0.999388,0.027273,15.265625,15.250000,15.265625,15.343750,1.0053,1.0053,3810.11,357029,1,0,0,0,0,0,0,0,15.204739,15.281250,0.076511
284322120,2272,1690354704.12,5,44,1,0.00,29.506092936197916,106.440183105468748,303.271,-15.180,0.867,0.106,1.994,-1.518,273.103,-0.170987336434657,-0.103992298182482,0.370972525247117,0.649,0.235,9.459,50,50,50,132,212,147,0.100,0.100,0.100,-0.000029,0.008435,0.003327,-0.012764,0.017758,0.999387,0.027305,15.265625,15.250000,15.265625,15.343750,1.0053,1.0053,3810.12,357030,1,0,0,0,0,0,0,0,15.204739,15.281250,0.076511
