,,,,,,,y,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6236580,2280,1694915019,5,44,0,1558,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,0.028997852,0.048996371,0.048996371,-0.088,-0.47,9.791,0,0,0,32,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558,125242,1,0,0,0,0,0,0,0,0.001,0,0.001
6236590,2280,1694915019,5,44,0,1558.01,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,-0.04199689,0.014998889,0.030997704,-0.095,-0.465,9.791,0,0,0,32,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.01,125243,1,0,0,0,0,0,0,0,0.001,0,0.001
6236600,2280,1694915019,5,44,0,1558.02,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,-0.006999482,0.013998963,-0.024998149,-0.085,-0.47,9.798,0,0,0,32,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.02,125244,1,0,0,0,0,0,0,0,0.001,0,0.001
6236610,2280,1694915019,5,44,0,1558.03,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,-1E-15,0.012999037,0.052996075,-0.073,-0.46,9.784,0,0,0,32,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.03,125245,1,0,0,0,0,0,0,0,0.001,0,0.001
6236620,2280,1694915019,5,44,0,1558.04,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,0.07399452,0.042996816,0.050996223,-0.084,-0.467,9.791,0,0,0,32,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.04,125246,1,0,0,0,0,0,0,0,0.001,0,0.001
6236630,2280,1694915019,5,44,0,1558.05,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,0.049996297,-0.015998815,0.057995705,-0.09,-0.47,9.802,0,0,0,32,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.05,125247,1,0,0,0,0,0,0,0,0.001,0,0.001
6236640,2280,1694915019,5,44,0,1558.06,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,0.033997482,-0.015998815,-0.014998889,-0.084,-0.466,9.796,0,0,0,32,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.06,125248,1,0,0,0,0,0,0,0,0.001,0,0.001
6236650,2280,1694915019,5,44,0,1558.07,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,-0.061995409,0.075994372,0.009999259,-0.088,-0.467,9.784,0,0,0,32,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.07,125249,1,0,0,0,0,0,0,0,0.001,0,0.001
6236660,2280,1694915019,5,44,0,1558.08,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,0.071994668,0.028997852,0.055995853,-0.088,-0.477,9.8,0,0,0,32,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.08,125250,1,0,0,0,0,0,0,0,0.001,0,0.001
6236670,2280,1694915019,5,44,0,1558.09,0.000000000000000000000 ,0.000000000000000000000 ,0,-0.001,0,-0.002,0,0,0,0.03199763,0.014998889,0.039997038,-0.083,-0.472,9.803,0,0,0,32,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.09,125251,1,0,0,0,0,0,0,0,0.001,0,0.001
6236680,2280,1694915019,5,44,0,1558.1,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-0.057995705,-0.056995779,-0.03199763,-0.082,-0.473,9.785,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.1,125252,1,0,0,0,0,0,0,0,0,0,0
6236690,2280,1694915019,5,44,0,1558.11,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-1E-15,-0.012999037,-0.046996519,-0.095,-0.47,9.79,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.11,125253,1,0,0,0,0,0,0,0,0,0,0
6236700,2280,1694915019,5,44,0,1558.12,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,0.005999556,-0.076994298,0.038997112,-0.096,-0.479,9.803,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.12,125254,1,0,0,0,0,0,0,0,0,0,0
6236710,2280,1694915019,5,44,0,1558.13,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-0.002999778,0.013998963,0.059995557,-0.081,-0.473,9.783,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.13,125255,1,0,0,0,0,0,0,0,0,0,0
6236720,2280,1694915019,5,44,0,1558.14,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-0.060995483,-0.06899489,0.025998075,-0.086,-0.478,9.769,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.14,125256,1,0,0,0,0,0,0,0,0,0,0
6236730,2280,1694915019,5,44,0,1558.15,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,0.007999408,0.025998075,-0.028997852,-0.091,-0.487,9.788,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.15,125257,1,0,0,0,0,0,0,0,0,0,0
6236740,2280,1694915019,5,44,0,1558.16,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-0.06399526,0.084993705,0.069994816,-0.096,-0.475,9.815,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.16,125258,1,0,0,0,0,0,0,0,0,0,0
6236750,2280,1694915019,5,44,0,1558.17,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-0.000999926,-0.029997778,-0.019998519,-0.085,-0.467,9.798,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.17,125259,1,0,0,0,0,0,0,0,0,0,0
6236760,2280,1694915019,5,44,0,1558.18,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-0.002999778,0.058995631,0.030997704,-0.091,-0.476,9.794,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.18,125260,1,0,0,0,0,0,0,0,0,0,0
6236770,2280,1694915019,5,44,0,1558.19,0.000000000000000000000 ,0.000000000000000000000 ,0,0,0,-0.002,0,0,0,-0.082993853,-1E-15,0.013998963,-0.092,-0.468,9.802,0,0,0,32,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1558.19,125261,1,0,0,0,0,0,0,0,0,0,0
