,sec_of_week,gps_week_number,utc,position_type,numsv,ins_status,temperature,latitude,longitude,altitude,north_velocity,east_velocity,ground_velocity,roll,pitch,heading,x_angular_velocity,y_angular_velocity,z_angular_velocity,x_acc,y_acc,z_acc,latitude_std,longitude_std,altitude_std,north_velocity_std,east_velocity_std,ground_velocity_std,roll_std,pitch_std,heading_std,atb_0,atb_1,atb_2,q_x,q_y,q_z,q_w,fl_wheel_vel,fr_wheel_vel,rl_wheel_vel,rr_wheel_vel,l_wheel_factor,r_wheel_factor,time_stamp,seq,time_valid,timestamp_sab_vehicle,x_angular_velocity_bias,y_angular_velocity_bias,z_angular_velocity_bias,x_acc_bias,y_acc_bias,z_acc_bias,gps_velocity,wheel_speed,dv,new_longitude,new_latitude
2889,283734400,2272,1690354116.4,4,27,0,0.0,29.580092230902775,106.46743408203125,232.816,-12.49,-13.966,-0.136,2.595,-0.03,222.015,-0.778942310424543,-1.087919427139798,0.032997556154055,-0.342,0.269,8.321,50,50,79,123,235,150,0.1,0.1,0.1,-2.8e-05,0.008451,0.003309,-0.009442,0.020584,0.913369,-0.406503,18.609375,18.53125,18.609375,18.65625,1.0068,1.0068,3222.4,298258,1,0,0,0,0,0,0,0,18.736308,18.601562,0.134746,106.46349113469878,29.582704856704346
2890,283734410,2272,1690354116.41,4,27,0,0.0,29.580087890625,106.46743326822916,232.817,-12.49,-13.966,-0.136,2.578,-0.071,222.013,-1.619880029380948,-4.122694667368918,-0.048996371259055,-0.223,0.02,9.889,50,50,80,123,235,150,0.1,0.1,0.1,-2.8e-05,0.008451,0.003309,-0.009712,0.020307,0.913366,-0.406516,18.59375,18.59375,18.59375,18.640625,1.0068,1.0068,3222.41,298259,1,0,0,0,0,0,0,0,18.736308,18.605469,0.13084,106.46349031910346,29.582700515759882
2891,283734420,2272,1690354116.42,4,27,0,0.0,29.580087890625,106.46742892795137,232.817,-12.49,-13.966,-0.136,2.589,-0.092,222.013,1.098918612524481,-2.090845149034297,0.152988669441532,0.117,-0.302,10.921,50,50,80,123,235,150,0.1,0.1,0.1,-2.8e-05,0.008451,0.003309,-0.009917,0.020321,0.913368,-0.406507,18.59375,18.59375,18.59375,18.640625,1.0068,1.0068,3222.42,298260,1,0,0,0,0,0,0,0,18.736308,18.605469,0.13084,106.46348596784959,29.582700504564446
2892,283734430,2272,1690354116.43,4,27,0,0.0,29.58008761935764,106.46742865668402,232.817,-12.49,-13.966,-0.136,2.62,-0.077,222.014,3.107769834145667,1.518887509030652,0.025998074545619,-0.025,0.214,11.084,50,50,80,123,235,150,0.1,0.1,0.1,-2.8e-05,0.008451,0.003309,-0.009906,0.020623,0.913364,-0.4065,18.59375,18.5625,18.59375,18.65625,1.0068,1.0068,3222.43,298261,1,0,0,0,0,0,0,0,18.736308,18.601562,0.134746,106.46348569591281,29.58270023268692
2893,283734440,2272,1690354116.44,4,27,0,0.0,29.58008761935764,106.46742892795137,232.818,-12.49,-13.966,-0.136,2.632,-0.053,222.014,1.117917205461664,2.288830485958632,-0.157988299161847,-0.288,0.72,10.771,50,50,80,123,235,150,0.1,0.1,0.1,-2.8e-05,0.008451,0.003309,-0.009761,0.020794,0.913358,-0.406507,18.59375,18.5625,18.59375,18.65625,1.0068,1.0068,3222.44,298262,1,0,0,0,0,0,0,0,18.736308,18.601562,0.134746,106.46348596786615,29.58270023338662
2894,283734450,2272,1690354116.45,4,27,0,0.0,29.580082465277776,106.46742865668402,232.819,-12.49,-13.966,-0.136,2.622,-0.012,222.014,-0.943930091194825,4.177690594292342,-0.11599140951123,-0.036,0.87,10.331,50,50,80,123,235,150,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009394,0.020867,0.913359,-0.40651,18.59375,18.5625,18.59375,18.65625,1.0068,1.0068,3222.45,298263,1,0,0,0,0,0,0,0,18.736308,18.601562,0.134746,106.46348569622731,29.5826950803082
2895,283734460,2272,1690354116.46,4,27,0,0.0,29.580082465277776,106.4674232313368,232.819,-12.49,-13.966,-0.136,2.615,0.013,222.015,-0.762943495319546,2.454818192672977,0.005999555664372,-0.222,0.786,9.303,50,50,80,123,235,150,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009173,0.020893,0.913363,-0.406507,18.5625,18.5625,18.5625,18.578125,1.0068,1.0068,3222.46,298264,1,0,0,0,0,0,0,0,18.736308,18.566406,0.169902,106.46348025716077,29.582695066314614
2896,283734470,2272,1690354116.47,4,27,0,0.0,29.580082465277776,106.46742377387152,232.82,-12.492,-13.96,-0.074,2.606,0.027,222.015,-0.895933645879834,1.364898913645056,-0.131990224616227,-0.348,0.503,8.515,50,50,80,127,261,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009031,0.020871,0.913361,-0.406515,18.5625,18.5625,18.5625,18.578125,1.0068,1.0068,3222.47,298265,1,0,0,0,0,0,0,0,18.73317,18.566406,0.166764,106.46348080106738,29.58269506771394
2897,283734480,2272,1690354116.48,4,27,0,0.0,29.5800830078125,106.4674232313368,232.82,-12.492,-13.96,-0.074,2.604,0.019,222.015,-0.137989780280601,-0.772942754760169,0.042996815594678,-0.296,-0.111,8.833,50,50,80,127,261,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009087,0.020833,0.913362,-0.406514,18.5625,18.59375,18.5625,18.578125,1.0068,1.0068,3222.48,298266,1,0,0,0,0,0,0,0,18.73317,18.574219,0.158951,106.46348025712766,29.58269560867027
2898,283734490,2272,1690354116.49,4,27,0,0.0,29.58007785373264,106.46741889105903,232.821,-12.492,-13.96,-0.074,2.62,0.015,222.013,1.620879955325008,-0.388971192240241,-0.173987114266844,-0.205,0.318,9.658,50,50,80,127,261,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.00331,-0.009175,0.020949,0.913352,-0.406527,18.5625,18.59375,18.5625,18.578125,1.0068,1.0068,3222.49,298267,1,0,0,0,0,0,0,0,18.73317,18.574219,0.158951,106.46347590618954,29.582690445097256
